AGNO,NOM_REGION,PROM_GRAL
2015,Antofagasta,5.6986239719064775
2015,Arica,5.81298083815167
2015,Atacama,5.726394983145327
2015,Aysén,5.660757835332056
2015,Biobío,5.731030328532684
2015,Coquimbo,5.6655741531326
2015,La Araucanía,5.644423680713137
2015,Los Lagos,5.64987089682803
2015,Los Ríos,5.7109210466508085
2015,Magallanes,5.815094611641737
2015,Maule,5.690679324654653
2015,Metropolitana,5.643491222082854
2015,O'Higgins,5.679569461668097
2015,Tarapacá,5.711445421831267
2015,Valparaíso,5.669435255601405
2016,Antofagasta,5.7360556403483915
2016,Arica,5.854844142904588
2016,Atacama,5.7390225452935315
2016,Aysén,5.700844888425029
2016,Biobío,5.770161910100024
2016,Coquimbo,5.696675966224007
2016,La Araucanía,5.676850611894699
2016,Los Lagos,5.68113433847638
2016,Los Ríos,5.746068586442777
2016,Magallanes,5.822483065123114
2016,Maule,5.725868587981203
2016,Metropolitana,5.673974983119455
2016,O'Higgins,5.70436904882496
2016,Tarapacá,5.74881094812751
2016,Valparaíso,5.6981147334869275
2017,Antofagasta,5.794732054325974
2017,Arica,5.874483748495232
2017,Atacama,5.77697904540163
2017,Aysén,5.7420750988142295
2017,Biobío,5.806644613130603
2017,Coquimbo,5.7331842164797235
2017,La Araucanía,5.717063501210095
2017,Los Lagos,5.712711891895399
2017,Los Ríos,5.7775788040632525
2017,Magallanes,5.852781180200303
2017,Maule,5.773426648086129
2017,Metropolitana,5.710065769829379
2017,O'Higgins,5.733515671665252
2017,Tarapacá,5.795176613108901
2017,Valparaíso,5.7427021353430145
2018,Antofagasta,5.8206215324299295
2018,Arica,5.890573553452603
2018,Atacama,5.801461607949413
2018,Aysén,5.755193521954982
2018,Biobío,5.831692252203512
2018,Coquimbo,5.763196458883947
2018,La Araucanía,5.754378852604719
2018,Los Lagos,5.749998386753309
2018,Los Ríos,5.8136828340466
2018,Magallanes,5.891620854442888
2018,Maule,5.7909532298425495
2018,Metropolitana,5.743848405425571
2018,O'Higgins,5.7644005366659625
2018,Tarapacá,5.819883862797486
2018,Valparaíso,5.78384083772429
2018,Ñuble,5.866595606522831
2019,Antofagasta,5.900105138535482
2019,Arica,5.9536570568276295
2019,Atacama,5.858275449529489
2019,Aysén,5.7950614286408
2019,Biobío,5.892103958536769
2019,Coquimbo,5.814909586692061
2019,La Araucanía,5.788340840412794
2019,Los Lagos,5.80482017032085
2019,Los Ríos,5.849212999159155
2019,Magallanes,5.925915400590228
2019,Maule,5.8263090098301955
2019,Metropolitana,5.811664847166268
2019,O'Higgins,5.807571032251318
2019,Tarapacá,5.877505873140173
2019,Valparaíso,5.842774456029384
2019,Ñuble,5.905109560774295
2020,Antofagasta,5.96146151192719
2020,Arica,6.039493619969161
2020,Atacama,6.0157295778655
2020,Aysén,6.154911838790932
2020,Biobío,6.117730775279132
2020,Coquimbo,5.9834441695553
2020,La Araucanía,5.974781113371471
2020,Los Lagos,5.945326732166615
2020,Los Ríos,5.952099220041173
2020,Magallanes,6.204031252292568
2020,Maule,6.004336333685049
2020,Metropolitana,5.973618272383636
2020,O'Higgins,5.933008373496909
2020,Tarapacá,5.99133817732541
2020,Valparaíso,6.000076183530683
2020,Ñuble,6.109732123035939
2021,Antofagasta,5.963373398494254
2021,Arica,6.025310630464795
2021,Atacama,5.9815286624203825
2021,Aysén,5.90864480288485
2021,Biobío,6.063865530708522
2021,Coquimbo,5.987173616752718
2021,La Araucanía,5.976352337176519
2021,Los Lagos,5.9376836413363945
2021,Los Ríos,5.9912134780514075
2021,Magallanes,6.129929155313351
2021,Maule,5.993283449322379
2021,Metropolitana,5.933627061485594
2021,O'Higgins,5.970153987397238
2021,Tarapacá,5.942974730074527
2021,Valparaíso,5.990473072881902
2021,Ñuble,6.092591970031697
2022,Antofagasta,6.036914485165794
2022,Arica,6.106596067898109
2022,Atacama,6.029871647309128
2022,Aysén,5.9139935944814
2022,Biobío,6.075686601143873
2022,Coquimbo,6.009803375258717
2022,La Araucanía,5.993010749743989
2022,Los Lagos,5.974414552682396
2022,Los Ríos,6.058530991352907
2022,Magallanes,6.135187481762474
2022,Maule,6.0341716968477535
2022,Metropolitana,5.991496316022164
2022,O'Higgins,6.006081970794731
2022,Tarapacá,6.061732563938164
2022,Valparaíso,6.026037740637809
2022,Ñuble,6.094078555605841
2023,Antofagasta,6.023788102534336
2023,Arica,6.091853342667133
2023,Atacama,6.034172810583614
2023,Aysén,5.916868542047758
2023,Biobío,6.068455404880395
2023,Coquimbo,6.013830672916189
2023,La Araucanía,5.98929162312783
2023,Los Lagos,5.9731713617833675
2023,Los Ríos,6.05184375931102
2023,Magallanes,6.11562112480852
2023,Maule,6.031144878016488
2023,Metropolitana,5.985970566063596
2023,O'Higgins,6.009267586312019
2023,Tarapacá,6.021008450000694
2023,Valparaíso,6.0299158440901035
2023,Ñuble,6.094441421406265
2024,Antofagasta,6.033459658326379
2024,Arica,6.1225203057291555
2024,Atacama,6.017856957087127
2024,Aysén,5.952796102709835
2024,Biobío,6.082780986294811
2024,Coquimbo,6.030007384647845
2024,La Araucanía,5.998725669896133
2024,Los Lagos,5.9918460480924685
2024,Los Ríos,6.058960275347769
2024,Magallanes,6.128174208061364
2024,Maule,6.0376714983729975
2024,Metropolitana,5.987053611773606
2024,O'Higgins,6.01971673521745
2024,Tarapacá,6.013957302609285
2024,Valparaíso,6.041022260437566
2024,Ñuble,6.095122153503471
2025,Antofagasta,6.019208852989238
2025,Arica,6.126905186280051
2025,Atacama,6.013275813593871
2025,Aysén,5.974224516129032
2025,Biobío,6.078324204372005
2025,Coquimbo,6.025764641111192
2025,La Araucanía,6.005601513684766
2025,Los Lagos,6.002128811461938
2025,Los Ríos,6.053395590670114
2025,Magallanes,6.128666142263175
2025,Maule,6.033589776292631
2025,Metropolitana,5.984707287830262
2025,O'Higgins,6.023073115250662
2025,Tarapacá,6.023118408757175
2025,Valparaíso,6.043776478291011
2025,Ñuble,6.104661779447108
